Uniq_SampleID	Date of Collection
ME-HETL-J0502	12/28/20
ME-HETL-J0503	12/28/20
ME-HETL-J0504	12/28/20
ME-HETL-J0505	12/28/20
ME-HETL-J0507	12/28/20
ME-HETL-J0508	12/28/20
ME-HETL-J0509	12/28/20
ME-HETL-J0510	12/28/20
ME-HETL-J0511	12/28/20
ME-HETL-J0512	12/28/20
ME-HETL-J0513	12/28/20
ME-HETL-J0514	1/2/21
ME-HETL-J0515	1/2/21
ME-HETL-J0516	12/29/20
ME-HETL-J0517	12/29/20
ME-HETL-J0518	12/29/20
ME-HETL-J0519	12/29/20
ME-HETL-J0521	12/29/20
ME-HETL-J0522	12/29/20
ME-HETL-J0524	12/29/20
ME-HETL-J0525	12/29/20
ME-HETL-J0526	12/29/20
ME-HETL-J0528	12/29/20
ME-HETL-J0529	12/29/20
ME-HETL-J0530	12/29/20
ME-HETL-J0532	12/29/20
ME-HETL-J0533	12/29/20
ME-HETL-J0534	12/29/20
ME-HETL-J0535	12/29/20
ME-HETL-J0536	12/29/20
ME-HETL-J0537	12/29/20
ME-HETL-J0539	12/31/20
ME-HETL-J0541	12/31/20
ME-HETL-J0542	12/31/20
ME-HETL-J0546	12/30/20
ME-HETL-J0547	1/2/21
ME-HETL-J0548	1/2/21
ME-HETL-J0549	12/29/20
ME-HETL-J0550	12/30/20
ME-HETL-J0551	12/28/20
ME-HETL-J0553	1/2/21
ME-HETL-J0554	1/2/21
ME-HETL-J0555	1/2/21
ME-HETL-J0556	1/2/21
ME-HETL-J0557	1/2/21
ME-HETL-J0559	1/2/21
ME-HETL-J0560	1/2/21
ME-HETL-J0561	1/2/21
ME-HETL-J0563	1/2/21
ME-HETL-J0566	12/31/20
ME-HETL-J0567	12/31/20
ME-HETL-J0568	12/31/20
ME-HETL-J0569	12/31/20
ME-HETL-J0571	12/30/20
ME-HETL-J0572	12/30/20
ME-HETL-J0573	12/30/20
ME-HETL-J0574	12/30/20
ME-HETL-J0576	12/30/20
ME-HETL-J0577	12/30/20
ME-HETL-J0578	12/30/20
ME-HETL-J0579	12/30/20
ME-HETL-J0581	12/30/20
ME-HETL-J0582	12/30/20
ME-HETL-J0583	12/30/20
ME-HETL-J0584	12/26/20
ME-HETL-J0586	12/26/20
ME-HETL-J0587	12/26/20
ME-HETL-J0588	12/26/20
ME-HETL-J0589	12/26/20
ME-HETL-J0590	12/26/20
ME-HETL-J0591	12/26/20
ME-HETL-J0592	12/26/20
ME-HETL-J0593	12/26/20
ME-HETL-J0594	12/26/20
ME-HETL-J0595	12/26/20
ME-HETL-J0596	12/26/20
ME-HETL-J0597	12/26/20
ME-HETL-J0598	12/26/20
ME-HETL-J0599	12/28/20
ME-HETL-J0601	12/27/20
ME-HETL-J0603	1/1/21
ME-HETL-J0604	12/28/20
ME-HETL-J0606	12/28/20
ME-HETL-J0607	12/28/20
ME-HETL-J0608	12/28/20
ME-HETL-J0609	12/28/20
ME-HETL-J0610	12/26/20
ME-HETL-J0611	12/26/20
ME-HETL-J0612	12/26/20
ME-HETL-J0613	12/26/20
ME-HETL-J0614	12/26/20
ME-HETL-J0615	12/26/20
ME-HETL-J0616	12/26/20
ME-HETL-J0617	12/29/20
ME-HETL-J0618	12/28/20
ME-HETL-J0619	12/28/20
ME-HETL-J0620	12/28/20
ME-HETL-J0621	12/22/20
ME-HETL-J0623	12/22/20
ME-HETL-J0624	12/22/20
ME-HETL-J0626	12/27/20
ME-HETL-J0629	12/27/20
ME-HETL-J0630	12/31/20
ME-HETL-J0631	12/31/20
ME-HETL-J0632	12/31/20
ME-HETL-J0633	12/31/20
ME-HETL-J0634	12/31/20
ME-HETL-J0635	12/31/20
ME-HETL-J0636	12/31/20
ME-HETL-J0637	12/31/20
ME-HETL-J0638	12/31/20
ME-HETL-J0639	12/31/20
ME-HETL-J0640	12/31/20
ME-HETL-J0641	1/2/21
ME-HETL-J0642	1/2/21
ME-HETL-J0643	12/29/20
ME-HETL-J0644	12/29/20
ME-HETL-J0645	12/29/20
ME-HETL-J0647	12/29/20
ME-HETL-J0648	12/29/20
ME-HETL-J0649	12/29/20
ME-HETL-J0650	12/29/20
ME-HETL-J0651	12/29/20
ME-HETL-J0652	12/29/20
ME-HETL-J0654	12/29/20
ME-HETL-J0655	12/31/20
ME-HETL-J0656	12/31/20
ME-HETL-J0658	12/31/20
ME-HETL-J0660	12/30/20
ME-HETL-J0661	12/31/20
ME-HETL-J0662	12/31/20
ME-HETL-J0663	12/30/20
ME-HETL-J0664	12/30/20
ME-HETL-J0668	12/29/20
ME-HETL-J0669	12/29/20
ME-HETL-J0670	12/30/20
ME-HETL-J0672	1/7/21
ME-HETL-J0673	1/7/21
ME-HETL-J0674	1/7/21
ME-HETL-J0675	1/7/21
ME-HETL-J0676	1/7/21
ME-HETL-J0677	1/7/21
ME-HETL-J0678	1/7/21
ME-HETL-J0679	1/7/21
ME-HETL-J0680	1/7/21
ME-HETL-J0681	1/7/21
ME-HETL-J0683	1/4/21
ME-HETL-J0685	1/4/21
ME-HETL-J0686	1/4/21
ME-HETL-J0687	1/4/21
ME-HETL-J0688	1/4/21
ME-HETL-J0689	1/4/21
ME-HETL-J0690	1/4/21
ME-HETL-J0691	1/4/21
ME-HETL-J0692	12/26/20
ME-HETL-J0694	1/7/21
ME-HETL-J0695	1/7/21
ME-HETL-J0697	1/7/21
ME-HETL-J0698	1/7/21
ME-HETL-J0699	1/7/21
ME-HETL-J0700	1/7/21
ME-HETL-J0701	1/6/21
ME-HETL-J0702	1/6/21
