Sample	Date of Collection	Pangolin	Month	Week
ME-CDC-QDX29520047	2021-10-04	AY.103	2021-10	2021-40
ME-CDC-QDX29520048	2021-10-04	AY.100	2021-10	2021-40
ME-CDC-QDX29520040	2021-10-04	AY.119.2	2021-10	2021-40
ME-CDC-QDX29520036	2021-10-04	AY.103	2021-10	2021-40
ME-CDC-QDX29520046	2021-10-04	AY.103	2021-10	2021-40
ME-CDC-QDX29520074	2021-10-04	AY.103	2021-10	2021-40
ME-CDC-QDX29520058	2021-10-04	AY.103	2021-10	2021-40
ME-CDC-QDX29520068	2021-10-04	AY.3	2021-10	2021-40
ME-CDC-QDX29456114	2021-10-04	AY.100	2021-10	2021-40
ME-CDC-QDX29520080	2021-10-05	AY.103	2021-10	2021-40
ME-CDC-QDX29520106	2021-10-05	AY.25	2021-10	2021-40
ME-CDC-QDX29520079	2021-10-05	AY.46.1	2021-10	2021-40
ME-CDC-QDX29520107	2021-10-05	AY.25	2021-10	2021-40
ME-CDC-QDX29520083	2021-10-05	AY.47	2021-10	2021-40
ME-CDC-QDX29520108	2021-10-05	AY.103	2021-10	2021-40
ME-CDC-QDX29520082	2021-10-05	AY.26	2021-10	2021-40
ME-CDC-QDX29520105	2021-10-05	AY.25	2021-10	2021-40
ME-CDCBI-CRSP_RMX3IA7N2OSCULNH	2021-10-12	AY.44	2021-10	2021-41
ME-CDCBI-CRSP_PMF37IXANQGJVU4S	2021-10-14	AY.103	2021-10	2021-41
ME-CDCBI-CRSP_VJLCZJZN4ARNHKZZ	2021-10-14	AY.47	2021-10	2021-41
ME-CDCBI-CRSP_YJPVJFJJNDJSCTQ3	2021-10-14	AY.44	2021-10	2021-41
ME-JAX-JAX-2142-041	2021-10-12	AY.103	2021-10	2021-41
ME-JAX-JAX-2142-042	2021-10-12	AY.103	2021-10	2021-41
ME-JAX-JAX-2142-043	2021-10-12	AY.25.1	2021-10	2021-41
ME-JAX-JAX-2142-044	2021-10-12	AY.100	2021-10	2021-41
ME-JAX-JAX-2142-045	2021-10-12	AY.100	2021-10	2021-41
ME-JAX-JAX-2142-046	2021-10-12	AY.47	2021-10	2021-41
ME-JAX-JAX-2142-048	2021-10-12	AY.25	2021-10	2021-41
ME-JAX-JAX-2142-049	2021-10-13	AY.47	2021-10	2021-41
ME-JAX-JAX-2142-050	2021-10-14	AY.25.1	2021-10	2021-41
ME-JAX-JAX-2142-051	2021-10-14	AY.100	2021-10	2021-41
ME-CDC-ASC210282245	2021-09-16	AY.54	2021-9	2021-37
ME-CDC-ASC210094342	2021-09-17	AY.103	2021-9	2021-37
ME-CDC-ASC210283330	2021-09-18	AY.25.1	2021-9	2021-37
ME-CDC-ASC210283331	2021-09-18	AY.47	2021-9	2021-37
ME-CDC-ASC210094341	2021-09-18	AY.103	2021-9	2021-37
ME-CDC-ASC210094424	2021-09-23	AY.103	2021-9	2021-38
ME-CDC-ASC210094376	2021-09-24	AY.103	2021-9	2021-38
ME-CDC-ASC210331995	2021-09-19	AY.103	2021-9	2021-38
ME-CDC-ASC210086510	2021-09-20	AY.103	2021-9	2021-38
ME-CDC-ASC210087568	2021-09-20	AY.3	2021-9	2021-38
ME-CDC-ASC210087567	2021-09-20	AY.100	2021-9	2021-38
ME-CDC-ASC210090607	2021-09-21	AY.25	2021-9	2021-38
ME-CDC-2-4972061	2021-09-01	AY.44	2021-9	2021-35
ME-CDC-2-4972084	2021-09-01	AY.103	2021-9	2021-35
ME-CDC-2-4972066	2021-09-01	AY.25	2021-9	2021-35
ME-CDC-2-4971990	2021-09-02	AY.3	2021-9	2021-35
ME-CDC-2-4972155	2021-09-02	AY.113	2021-9	2021-35
ME-CDC-2-4972097	2021-09-02	AY.103	2021-9	2021-35
ME-CDC-2-4972160	2021-09-02	AY.103	2021-9	2021-35
ME-CDC-2-4971996	2021-09-02	AY.103	2021-9	2021-35
ME-CDC-2-4972060	2021-09-02	AY.3	2021-9	2021-35
ME-CDC-ASC210279421	2021-09-16	AY.103	2021-9	2021-37
ME-CDC-ASC210282376	2021-09-16	AY.114	2021-9	2021-37
ME-CDC-ASC210282325	2021-09-16	AY.44	2021-9	2021-37
ME-CDC-ASC210284189	2021-09-16	AY.103	2021-9	2021-37
ME-CDC-ASC210282563	2021-09-17	AY.114	2021-9	2021-37
ME-CDC-ASC210285025	2021-09-19	B.1	2021-9	2021-38
ME-CDC-ASC210329044	2021-09-19	AY.25	2021-9	2021-38
ME-CDC-ASC210326540	2021-09-20	AY.103	2021-9	2021-38
ME-CDC-ASC210328970	2021-09-20	AY.103	2021-9	2021-38
ME-CDC-LC0325210	2021-10-04	AY.103	2021-10	2021-40
ME-CDC-ASC210091226	2021-09-22	AY.25	2021-9	2021-38
ME-CDC-ASC210380773	2021-09-27	AY.103	2021-9	2021-39
ME-CDC-ASC210380772	2021-09-27	AY.103	2021-9	2021-39
ME-CDC-ASC210378078	2021-09-27	B.1.617.2	2021-9	2021-39
ME-CDC-ASC210319302	2021-09-27	AY.25	2021-9	2021-39
ME-CDC-ASC210095953	2021-09-27	AY.25	2021-9	2021-39
ME-CDC-ASC210095954	2021-09-28	AY.25	2021-9	2021-39
ME-CDC-ASC210319053	2021-09-28	AY.25	2021-9	2021-39
ME-CDC-ASC210095975	2021-09-28	AY.103	2021-9	2021-39
ME-CDC-ASC210319330	2021-09-28	AY.103	2021-9	2021-39
ME-CDC-ASC210095994	2021-09-28	AY.44	2021-9	2021-39
ME-CDC-ASC210381225	2021-09-29	AY.103	2021-9	2021-39
ME-CDC-ASC210381226	2021-09-29	AY.46.1	2021-9	2021-39
ME-CDC-ASC210381255	2021-09-29	AY.46.1	2021-9	2021-39
ME-CDC-ASC210321606	2021-09-30	AY.103	2021-9	2021-39
ME-CDC-QDX29600989	2021-10-06	AY.44	2021-10	2021-40
ME-CDC-QDX29600980	2021-10-06	AY.4	2021-10	2021-40
ME-CDC-QDX29601077	2021-10-06	AY.100	2021-10	2021-40
ME-CDC-QDX29600990	2021-10-06	AY.100	2021-10	2021-40
ME-CDC-QDX29600979	2021-10-06	AY.47	2021-10	2021-40
ME-CDC-QDX29600981	2021-10-06	AY.25.1	2021-10	2021-40
ME-CDC-QDX29601072	2021-10-07	AY.103	2021-10	2021-40
ME-CDC-QDX29601074	2021-10-07	AY.103	2021-10	2021-40
ME-CDC-QDX29601076	2021-10-07	AY.3	2021-10	2021-40
ME-CDC-QDX29600999	2021-10-07	AY.100	2021-10	2021-40
ME-CDC-QDX29601080	2021-10-07	AY.103	2021-10	2021-40
ME-CDC-QDX29601075	2021-10-07	AY.25	2021-10	2021-40
ME-CDC-QDX29601073	2021-10-07	AY.44	2021-10	2021-40
ME-CDC-QDX29601068	2021-10-07	AY.44	2021-10	2021-40
ME-CDC-QDX29601004	2021-10-07	AY.117	2021-10	2021-40
ME-CDC-QDX29601071	2021-10-07	AY.103	2021-10	2021-40
ME-CDC-QDX29601084	2021-10-07	AY.44	2021-10	2021-40
ME-CDC-QDX29600973	2021-10-08	AY.25.1	2021-10	2021-40
ME-CDC-QDX29600972	2021-10-08	AY.3	2021-10	2021-40
ME-CDC-QDX30084933	2021-10-10	AY.100	2021-10	2021-41
